attack_date,attack_year,attack_type,attack_state,attack_location,activity,number_of_attacks,latitude,longitude,ice_cream
05-Feb-2020,2020.0,Unprovoked,Maui,Wailea,Stand-Up Paddle boarding,1,20.6871826,-156.4391668,15
13-Jan-2020,2020.0,Unprovoked,North Carolina,"Rodanthe, Dare County",Surfing,2,35.600383,-75.4655882,12
21-Dec-2019,2019.0,Unprovoked,California,"Santa Rosa Island, Ventura County",Surfing,1,33.9773487,-120.0896313,0
03-Dec-2019,2019.0,Unprovoked,Hawaii,"Cove Park, Kihei, Maui",Stand-Up Paddleboarding,1,20.727318,-156.4499005,15
30-Nov-2019,2019.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
12-Nov-2019,2019.0,Unprovoked,Florida,"Cocoa Beach, Brevard  County",Surfing,14,28.3200067,-80.6075513,12
06-Nov-2019,2019.0,Unprovoked,California,"San Onofre, San Diego County ",Surfing,2,33.3728077,-117.5656012,10
27-Oct-2019,2019.0,Provoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
08-Oct-2019,2019.0,Unprovoked,Florida,"Fort Pierce, St. Lucie County",Surfing,2,27.4467056,-80.3256056,15
05-Oct-2019,2019.0,Watercraft,California,"Ship Rock near Catalina, Los Angeles County",Kayaking,1,33.4625263,-118.4917455,0
 04-Oct-2019,2019.0,Unprovoked,Guam,Talofofo Bay ,Surfing,1,13.32,144.796667,7
26-Sep-2019,2019.0,Unprovoked,Hawaii,"Kihei, South Maui",Surfing,1,20.7406491,-156.4542466,15
24-Sep-2019,2019.0,Unprovoked,Florida,"Huguenot Park, Jacksonville, Duval County",Swimming,1,30.4110088,-81.4204882,1
24-Sep-2019,2019.0,Unprovoked,Florida,"Satellite Beach, Brevard County",Surfing,1,28.1761233,-80.5900519,4
18-Sep-2019,2019.0,Unprovoked,Hawaii,"Haleiwa, Oahu",Snorkeling,1,21.5927614,-158.1034112,15
31-Aug-2019,2019.0,Unprovoked,Cayman Islands,Grand Cayman,Spearfishing,1,19.3221698,-81.2408689,9
27-Aug-2019,2019.0,Provoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
21-Aug-2019,2019.0,Unprovoked,Florida,"Fort Lauderdale, Broward County",Wading,2,26.1224386,-80.1373174,15
20-Aug-2019,2019.0,Unprovoked,Hawaii,"Napoopoo Park in Kealakekua Bay, The Big Island",Swimming/ Treading water,1,19.4709665,-155.9210389,14
16-Aug-2019,2019.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,64,29.0258191,-80.9269984,15
11-Aug-2019,2019.0,Unprovoked,Hawaii,"Makaha Beach, Oahu",Surfing,1,21.4763581,-158.2203658,10
04-Aug-2019,2019.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Standing,64,29.0258191,-80.9269984,15
03-Aug-2019,2019.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
03-Aug-2019,2019.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
03-Aug-2019,2019.0,Unprovoked,Florida,Off Key Biscayne,Spearfishing / Diving,1,25.693713,-80.1628248,2
29-Jul-2019,2019.0,Unprovoked,Hawaii,Molokai Channel/,Swimming,1,20.9946839,-156.7605548,0
30-Jul-2019,2019.0,Provoked,North Carolina,"Off Cape Hatteras, Dare County",Fishing ,1,35.24804,-75.5393155,12
29-Jul-2019,2019.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
27-Jul-2019,2019.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,64,29.0258191,-80.9269984,15
27-Jul-2019,2019.0,Unprovoked,Florida,"Jacksonville Beach, Duval County",Surfing,6,30.2841224,-81.3961338,15
22-Jul-2019,2019.0,Unprovoked,Rhode Island,"Moonstone Beach, South Kingstown, Washington County",Surfing,1,41.3865718,-71.5747455,6
18-Jul-2019,2019.0,Unconfirmed,Florida,"Haulover Inlet, Miami-Dade County",Diving,1,25.9114426,-80.1234842,15
16-Jul-2019,2019.0,Unprovoked,North Carolina,"Sunset Beach, Brunswick County",Body-surfing,2,33.8820632,-78.5183816,8
12-Jul-2019,2019.0,Unprovoked,Florida,"Amelia Island, Nassau County",Boogie boarding,1,30.6265697,-81.460856,15
30-Jun-2019,2019.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,64,29.0258191,-80.9269984,15
16-Jun-2019,2019.0,Unprovoked,North Carolina,"Bald Head Island, Brunswick County",Swimming,3,33.8737069,-78.0015309,9
16-Jun-2019,2019.0,Unprovoked,Georgia,"Wilmington River, Chatham County",Swimming,1,31.9944425,-80.996972,4
10-Jun-2019,2019.0,Unprovoked,North Carolina,"Ocean Isle, Brunswick County",Surfing,4,33.8877282,-78.4364471,13
02-Jun-2019,2019.0,Unprovoked,North Carolina,"Fort Macon State Beach, Carteret County",Standing,1,34.7000204,-76.6922289,15
25-May-2019,2019.0,Unprovoked,Hawaii,"Honokowai Point, Maui",Swimming,1,20.9479024,-156.6920594,14
20-May-2019,2019.0,Unprovoked,New Jersey,"Ship Bottom, Ocean County",Body Boarding,1,39.642897,-74.1804159,12
14-May-2019,2019.0,Unprovoked,Hawaii,"Browns, Oahu",Surfing,1,21.2991603,-157.8560005,15
08-May-2019,2019.0,Unprovoked,Hawaii,O'ahu,Swimming with sharks,1,21.4389123,-158.0000565,15
07-May-2019,2019.0,Unprovoked,California,"North Salmon Creek Beach, Sonoma County",Surfing,1,38.3592396,-123.0682435,4
01-May-2019,2019.0,Unprovoked,Florida,"Off Boca Grande, Lee County",Fishing,1,26.7490152,-82.2616717,5
23-Apr-2019,2019.0,Unprovoked,Hawaii,"Anaehoomalu Bay, Hawaii",Kayaking,1,19.9161242,-155.8932242,15
12-Apr-2019,2019.0,Questionable,Florida,"Crescent Beach, St Johns County",Boogie boarding,1,29.76886,-81.2536786,2
06-Apr-2019,2019.0,Questionable,Hawaii,"North Koahala, Big Island",Picking opihi,1,20.0859161,-155.7171332,0
06-Apr-2019,2019.0,Unprovoked,Hawaii,Kaiwi Channel,Swimming,2,21.2166667,-157.5,0
26-Mar-2019,2019.0,Watercraft,Hawaii,Waikoloa area,Paddling an outrigger canoe,1,19.9372484,-155.7910681,6
22-Mar-2019,2019.0,Unprovoked,Florida,"Hobe Sound, Martin County",Surfing,1,27.059498,-80.1364323,2
16-Mar-2019,2019.0,Unprovoked,Hawaii,Kaiwi Channel,Swimming,2,21.2166667,-157.5,0
12-Mar-2019,2019.0,Unprovoked,Florida,"Stuart Beach, Martin County",Boogie boarding,1,27.2143933,-80.1750214,9
05-Mar-2019,2019.0,Unprovoked,Oregon,"Cape Kiwanda, Tillamook County",Surfing,1,45.2152814,-123.9695844,8
04-Feb-2019,2019.0,Unprovoked,Hawaii,"Hanalei Bay, Kauai",Surfing,3,22.2090776,-159.5067583,15
02-Feb-2019,2019.0,Unprovoked,Florida,Key Biscayne,Spearfishing,1,25.693713,-80.1628248,2
8-Jan-2019,2019.0,Unprovoked,California,"Sandspit Beach, Montaña de Oro State Park ",Surfing,1,35.2723111,-120.8867814,9
